entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
1,1,1,0,0,0.01,,,,
2,1,2,1003,108,0.00,,,,
3,1,3,0,0,0.01,,,,
4,1,4,2,0,0.00,,,,
5,1,5,3574,707,0.00,,,,
6,1,6,1142,177,-0.00,,,,
7,1,7,1408,55,-0.01,,,,
8,1,8,369,0,0.00,,,,
9,1,9,547,75,14.82,,,,
10,1,10,400,0,11.65,,,,
11,1,11,0,0,15.79,,,,
12,1,12,907,1702,16.58,,,,
13,1,13,0,0,14.50,,,,
14,1,14,339,1297,14.57,,,,
15,1,16,0,0,10.03,,,,
16,1,17,2180,69,9.84,,,,
17,1,18,421,13,13.36,,,,
18,1,19,4095,4095,13.67,,,,
19,1,20,4095,510,13.39,,,,
20,1,21,159,1722,13.29,,,,
21,1,22,1387,23,13.57,,,,
22,1,23,3150,112,13.65,,,,
23,1,24,1497,171,13.74,,,,
24,1,25,1790,66,13.61,,,,
25,1,26,365,160,13.55,,,,
26,1,27,0,0,13.59,,,,
27,1,28,0,0,12.51,,,,
28,1,29,0,0,2.54,,,,
29,1,31,0,0,0.00,,,,
30,1,32,0,0,0.00,,,,
31,1,33,495,23,0.01,,,,
32,1,34,1535,53,9.72,,,,
33,1,35,980,0,15.63,,,,
34,1,36,50,0,15.46,,,,
35,1,37,0,0,15.61,,,,
36,1,38,0,0,15.40,,,,
37,1,39,416,0,15.31,,,,
38,1,40,4095,4095,13.68,,,,
39,1,41,1319,20,13.24,,,,
40,1,42,1070,987,14.61,,,,
41,1,43,314,2441,14.55,,,,
42,1,44,0,0,14.74,,,,
43,1,46,0,0,0.00,,,,
44,1,47,29,0,8.58,,,,
45,1,48,192,0,14.21,,,,
46,1,49,0,0,14.60,,,,
47,1,50,0,0,14.29,,,,
48,1,51,387,0,13.90,,,,
49,1,52,500,16,13.75,,,,
50,1,53,67,0,13.80,,,,
51,1,54,0,0,12.97,,,,
52,1,55,0,0,14.18,,,,
53,1,56,267,10,14.04,,,,
54,1,57,973,0,13.92,,,,
55,1,58,463,0,13.71,,,,
56,1,59,1425,154,13.92,,,,
57,0,60,0,0,0.00,,,,
58,0,61,0,0,0.01,,,,
59,0,63,929,0,4.89,,,,
60,0,64,0,0,13.28,,,,
61,0,65,0,0,12.63,,,,
62,0,66,688,384,11.13,,,,
63,0,67,899,0,10.92,,,,
64,0,68,1471,180,11.13,,,,
65,0,69,487,0,10.71,,,,
66,0,70,4095,4095,10.82,,,,
67,0,71,1601,0,11.08,,,,
68,0,72,2288,270,10.93,,,,
69,0,73,1584,0,10.75,,,,
70,0,74,529,38,10.86,,,,
71,0,76,0,0,0.01,,,,
72,0,77,731,44,0.03,,,,
73,0,78,866,0,4.53,,,,
74,0,79,241,0,13.22,,,,
75,0,80,187,0,14.13,,,,
76,0,81,128,0,13.33,,,,
77,0,82,0,1098,13.09,,,,
78,0,83,826,0,13.74,,,,
79,0,84,0,0,12.91,,,,
80,0,85,975,0,13.03,,,,
81,0,86,0,0,13.00,,,,
82,0,87,1217,0,12.81,,,,
83,0,88,811,26,12.67,,,,
84,0,89,1968,688,12.64,,,,
85,0,91,0,0,0.01,,,,
86,0,92,724,57,8.41,,,,
87,0,93,1762,127,15.11,,,,
88,0,94,525,0,13.92,,,,
89,0,95,1323,0,13.72,,,,
90,0,96,121,0,13.42,,,,
91,0,97,2705,382,13.78,,,,
92,0,98,0,0,13.73,,,,
93,0,99,1104,0,13.68,,,,
94,0,100,61,0,13.49,,,,
95,0,101,213,25,13.48,,,,
96,0,102,0,0,13.72,,,,
97,0,103,47,1277,12.83,,,,
98,0,104,0,0,12.66,,,,
99,0,106,331,0,0.01,,,,
100,0,107,0,0,1.08,,,,
101,0,108,0,0,10.85,,,,
102,0,109,0,2069,14.14,,,,
103,0,110,2097,173,14.76,,,,
104,0,111,2065,2243,13.95,,,,
105,0,112,1047,0,13.88,,,,
106,0,113,0,0,13.59,,,,
107,0,114,1131,0,13.51,,,,
108,0,115,278,0,13.67,,,,
109,0,116,0,0,13.53,,,,
110,0,117,2603,222,13.55,,,,
111,0,118,1756,199,13.71,,,,
112,0,119,2559,98,13.65,,,,
113,1,121,959,90,0.01,,,,
114,1,122,80,0,11.86,,,,
115,1,123,4026,778,12.44,,,,
116,1,124,1704,234,13.69,,,,
117,1,125,414,0,13.73,,,,
118,1,126,2012,322,13.42,,,,
119,1,127,0,487,13.83,,,,
120,1,128,624,35,13.60,,,,
121,1,129,799,33,13.78,,,,
122,1,130,2374,254,13.33,,,,
123,1,131,485,1338,12.03,,,,
124,1,132,1722,0,12.83,,,,
125,1,133,0,0,13.39,,,,
126,1,134,4095,4095,13.46,,,,
127,1,136,186,0,7.88,,,,
128,1,137,2040,981,14.24,,,,
129,1,138,2192,271,13.54,,,,
130,1,139,1152,79,12.81,,,,
131,1,140,2297,256,12.62,,,,
132,1,141,0,0,12.77,,,,
133,1,142,1732,99,12.73,,,,
134,1,143,298,0,12.63,,,,
135,1,144,593,0,12.58,,,,
136,1,145,375,0,12.63,,,,
137,1,146,0,447,12.41,,,,
138,1,147,0,0,13.03,,,,
139,1,148,100,0,12.73,,,,
140,1,149,2279,1063,12.82,,,,
141,0,151,0,0,0.00,,,,
142,0,152,1471,67,6.50,,,,
143,0,153,243,0,15.27,,,,
144,0,154,1618,98,13.86,,,,
145,0,155,0,0,13.47,,,,
146,0,156,1417,6,13.33,,,,
147,0,157,0,0,13.31,,,,
148,0,158,2762,3090,13.16,,,,
149,0,159,1440,0,13.15,,,,
150,0,160,32,0,13.04,,,,
151,0,161,0,0,13.01,,,,
